PAIR_ID;NODE_ID_A;FRASE_A;NODE_ID_B;FRASE_B;RELATION_TYPE;CONFIDENCE
1;regolamento:1:1;"Ai sensi e per gli effetti di cui all’art. 43 dello Statuto di Ateneo, il presente Regolamento contiene le norme relative all’organizzazione generale dell’Università di Pisa; in particolare contiene la disciplina elettorale relativa agli organi centrali di governo e agli altri organi collegiali, le norme relative alle modalità di funzionamento del Senato accademico e del Consiglio di Amministrazione, le procedure per l’istituzione e la disattivazione delle strutture universitarie, i criteri e le procedure per la definizione di atti di particolare rilevanza per l’Ateneo cui lo Statuto rinvia.";statuto:43;"Il Regolamento Generale di Ateneo contiene le norme relative all’organizzazione generale dell’Università; le modalità di funzionamento del Senato accademico e del Consiglio di Amministrazione; le procedure per la istituzione e la disattivazione delle strutture universitarie. Esso contiene inoltre i criteri e le procedure per la definizione di atti di particolare rilevanza per l’Ateneo, e le norme quadro per la predisposizione del Regolamento del Consiglio Studentesco e di quelli delle strutture. Contiene inoltre la disciplina delle materie cui il presente Statuto rinvia. Il Regolamento è approvato dal Senato accademico a maggioranza assoluta dei componenti.";explicit_reference;1.0
2;regolamento:107:1;Ai sensi dell’art. 21, comma 3, dello Statuto, il presente Capo disciplina le modalità di costituzione e funzionamento delle commissioni scientifiche di area.;statuto:21:3;La definizione delle aree scientifiche, la composizione e le modalità operative delle commissioni di cui al comma 2 sono disciplinate nel Regolamento Generale di Ateneo.;explicit_reference;1.0
3;regolamento:11:1;Fatto salvo quanto previsto dalle singole discipline elettorali di cui ai successivi Capi del presente Titolo, per i casi di incompatibilità si rinvia a quanto previsto dall’art. 50 dello Statuto e dalla normativa vigente in materia.;statuto:50;"Ai sensi del presente articolo per carica si intende quella di Rettore, di componente del Senato accademico e del Consiglio di Amministrazione, di Prorettore e Delegato di cui all’art. 12, comma 2.ter, di Direttore di dipartimento, di Presidente della scuola interdipartimentale, di Direttore di centro di Ateneo di cui all’art. 39, di Presidente di Sistema di Ateneo di cui all’art. 38. Il Rettore e i componenti del Senato accademico e del Consiglio di Amministrazione non possono: a. ricoprire altre cariche, fatta eccezione per il Rettore limitatamente al Senato accademico e al Consiglio di Amministrazione e, per i direttori di dipartimento, limitatamente al Senato accademico, qualora risultino eletti a farne parte; b. ricoprire la carica di Rettore, far parte del Consiglio di Amministrazione, del Senato accademico, del nucleo di valutazione o del Collegio dei revisori dei conti anche di altre università, anche telematiche, o di istituti di istruzione superiore italiani o stranieri, pubblici o privati; c. ricoprire il ruolo di Direttore di scuola di specializzazione e ogni altro incarico incompatibile ai sensi della normativa vigente. Il Prorettore vicario, i prorettori e i delegati di cui all’art. 12, comma 2.ter, i direttori dei dipartimenti e dei centri di Ateneo, i presidenti delle scuole interdipartimentali e i presidenti dei sistemi di Ateneo non possono ricoprire un’altra carica di cui al comma 1. Il Rettore, il Prorettore vicario, i prorettori e i delegati di cui all’art. 12, comma 2.ter, e i direttori dei dipartimenti non possono inoltre assumere la presidenza di corsi di studio e di dottorato. In ogni caso non è possibile assumere la responsabilità di più strutture didattiche, scientifiche e di servizio della medesima tipologia. Chi, ricoprendo una carica in un organo dell’università, è eletto a una carica incompatibile con la prima deve optare entro tre giorni per una delle due cariche. Le cariche e il ruolo di dirigente amministrativo sono incompatibili con quella di membro del Nucleo di valutazione di Ateneo. La carica di componente del Collegio dei revisori dei conti non può essere conferita al personale dipendente dell’Università di Pisa.";explicit_reference;1.0
4;regolamento:112:1;Salvo quanto previsto dall’art. 36, comma 3, dello Statuto, presso ciascun dipartimento è istituita una commissione, composta da un numero di membri pari al 12% dei componenti del Consiglio del dipartimento arrotondato al numero pari superiore, fino a un massimo di sedici, per metà docenti e per metà studenti. Nella componente docente è compreso anche il Direttore del dipartimento o suo delegato, con funzione di Presidente della commissione stessa.;statuto:36:3;I dipartimenti afferenti a una Scuola possono proporre di non istituire la propria Commissione paritetica e di attribuirne le competenze, previa delibera del Senato accademico, alla Commissione paritetica della scuola.;explicit_reference;1.0
5;regolamento:113:1;I criteri e le modalità di organizzazione e di funzionamento del Consiglio Studentesco sono fissati nel Regolamento previsto dall’art. 18 dello Statuto, che è approvato dal Senato accademico, previo parere favorevole del Consiglio di Amministrazione e parere obbligatorio del Consiglio Studentesco.;statuto:18;"Il Consiglio Studentesco è l’organo rappresentativo degli studenti dell’Università di Pisa, dotato di autonomia nell’organizzazione e nel coordinamento degli studenti e delle relative rappresentanze. Ha inoltre compiti di promozione della partecipazione studentesca. Il Consiglio è organo consultivo e propositivo per quanto attiene: a. agli ordinamenti didattici; b. ai regolamenti delle attività didattiche di cui agli articoli 25 e 34; c. all’attuazione del diritto allo studio; d. all’efficienza dei servizi; e. alle attività di orientamento e tutorato; f. alla regolamentazione per l’assegnazione dei fondi per le attività culturali autogestite dagli studenti; g. alla presenza, alle esigenze e agli interessi degli studenti universitari nei confronti del territorio; h. alla tutela delle necessità, delle esigenze e degli interessi, nonché alla raccolta delle istanze della componente studentesca all’interno dell’Ateneo. Il Consiglio delibera in merito allo svolgimento delle attività formative autogestite dagli studenti nel campo della cultura e degli scambi culturali, dello sport e del tempo libero. Il Consiglio delibera l’assegnazione dei fondi per le attività culturali autogestite dagli studenti, previa valutazione delle stesse secondo le norme del relativo regolamento. 4.bis. Il Consiglio delibera in merito alla gestione degli spazi assegnati agli studenti. Il Consiglio esprime pareri obbligatori sulle seguenti materie: a. il Regolamento didattico d’Ateneo e l’attivazione e disattivazione dei corsi di studio; b. le modifiche degli ordinamenti e regolamenti dei corsi di studio di competenza del Senato accademico; c. la determinazione di contributi e tasse a carico degli studenti; d. le modifiche dello Statuto e del Regolamento generale; e. il bilancio annuale di previsione dell’Ateneo e il bilancio di esercizio relativo all’anno precedente; f. il Regolamento di funzionamento del Consiglio Studentesco; g. il Bilancio di Genere, il Piano Strategico, il Rapporto di Sostenibilità e il Piano Integrato di Attività e Organizzazione. Si prescinde dal parere ove questo non pervenga entro quindici giorni dalla trasmissione al Consiglio del testo della proposta. abrogato. Il Consiglio è formato dagli studenti eletti nel Senato accademico, nel Consiglio di Amministrazione, negli organi di gestione e controllo del diritto allo studio, nel Comitato unico di garanzia. Ne fanno inoltre parte studenti eletti direttamente dai collegi riferiti ai settori culturali dell’Ateneo, in numero non inferiore a quello dei membri di diritto. Il numero complessivo dei componenti non deve essere superiore a quaranta. L’Università fornisce i supporti logistici e di personale necessari per il funzionamento del Consiglio. Il Regolamento per il funzionamento del Consiglio di cui all’art. 13, comma 3, lett. c., deve comunque prevedere l’elezione di un Presidente scelto al proprio interno, che rappresenti il Consiglio a tutti gli effetti.";explicit_reference;1.0
6;regolamento:114:1;"Il Regolamento contenente le modalità di costituzione e di funzionamento del Comitato Unico di Garanzia per le pari opportunità, la valorizzazione del benessere di chi lavora e contro le discriminazioni dell’Università, previsto dall’art. 19 dello Statuto, deve prevedere: a) la composizione paritetica dell’organo, formato da un componente designato da ciascuna delle organizzazioni sindacali maggiormente rappresentative nell’Ateneo individuate secondo criteri definiti nel Regolamento e da un pari numero di rappresentanti, docenti e tecnici amministrativi, dell’amministrazione universitaria, ivi compreso il Presidente, e da altrettanti supplenti; la composizione del Comitato è integrata da due rappresentanti degli studenti, e altrettanti supplenti, che partecipano alle sedute e hanno diritto di voto sui soli argomenti che riguardano la componente studentesca; b) le modalità di designazione dei rappresentanti dell’amministrazione universitaria; c) una composizione che assicuri la parità di genere; d) la modalità di nomina; e) i motivi che determinano l’eventuale decadenza dalla carica dei componenti che non partecipino con continuità alle sedute dell’organo; f) le modalità di designazione del Presidente; g) i compiti del Presidente; h) l’individuazione del segretario verbalizzante; i) le modalità di convocazione delle sedute ordinarie e straordinarie; j) la previsione di una cadenza periodica delle sedute ordinarie; k) le condizioni di validità delle sedute e delle deliberazioni; l) abrogato; m) la possibilità di costituire commissioni e gruppi di lavoro; n) i compiti di natura propositiva, consultiva e di verifica del Comitato e i rapporti con l’amministrazione universitaria; o) la previsione di una relazione annuale entro il 30 marzo di ogni anno sulla situazione del personale dell’Università riferita all’anno precedente riguardante l’attuazione dei principi di parità, pari opportunità, benessere organizzativo e di contrasto alle discriminazioni e alle violenze morali e psicologiche nei luoghi di lavoro e di studio da trasmettere al Rettore e al Direttore generale.";statuto:19;"È istituito il Comitato unico di garanzia per le pari opportunità, la valorizzazione del benessere di chi lavora e contro le discriminazioni. Il Comitato svolge le seguenti funzioni: a. promuove le pari opportunità per tutte le componenti che studiano e lavorano nell’Università, proponendo misure e azioni dirette a prevenire e a contrastare ogni forma di discriminazione, in particolare se fondata sul genere, sull’orientamento sessuale, sulla razza, sull’origine etnica, sulla religione, sulle convinzioni personali e politiche, sulle condizioni di disabilità, sull’età; b. promuove la parità effettiva fra i generi, individuando le eventuali discriminazioni, dirette e indirette, nella formazione professionale, nell’accesso al lavoro, nelle condizioni di lavoro, nelle progressioni di carriera, nella retribuzione, e proponendo le iniziative necessarie a rimuoverle. Predispone piani di azioni positive dirette a prevenire le discriminazioni e a promuovere condizioni di effettiva parità per il genere sottorappresentato; c. promuove la diffusione della cultura delle pari opportunità, anche attraverso la valorizzazione degli studi di genere e lo svolgimento di attività a carattere scientifico, formativo e culturale; d. promuove azioni dirette a favorire la realizzazione di un ambiente lavorativo improntato al benessere organizzativo, contrastando qualsiasi forma di discriminazione e di violenza morale, fisica o psicologica; e. favorisce l’adozione di politiche di conciliazione tra tempi di vita e di lavoro; f. assume, nell’ambito di sua competenza, compiti propositivi, consultivi e di monitoraggio. Il Comitato è formato, in pari numero, da componenti designati da ciascuna delle organizzazioni sindacali maggiormente rappresentative nell’Ateneo e da rappresentanti dell’amministrazione appartenenti sia al personale docente sia al personale tecnico-amministrativo, nonché da altrettanti componenti supplenti. La composizione del Comitato è integrata da due rappresentanti degli studenti, e altrettanti supplenti, individuati secondo le modalità indicate nel Regolamento generale di Ateneo, che partecipano alle sedute e hanno diritto di voto sui soli argomenti che riguardano la componente studentesca. Le modalità di costituzione, anche attraverso procedura elettorale, e di funzionamento del Comitato sono disciplinate con apposito regolamento che deve in ogni caso assicurare la parità di genere. I componenti del Comitato durano in carica quattro anni e il loro mandato può essere rinnovato per una sola volta consecutivamente. I rappresentanti della componente studentesca durano in carica due anni accademici e il loro mandato può essere rinnovato per una sola volta consecutivamente.";explicit_reference;1.0
7;regolamento:116:1;Ai sensi dell’art. 22 dello Statuto, il dipartimento è la struttura di base in cui si articola l’Ateneo per il perseguimento dei propri fini istituzionali. Esso è caratterizzato da un ambito di discipline omogenee definito da una declaratoria, comprensiva di un elenco di settori scientifico-disciplinari, individuato con riferimento a linee di ricerca e di offerta formativa, anche di carattere multidisciplinare.;statuto:22;"Il dipartimento è la struttura di base su cui si articola l’Ateneo per il conseguimento dei propri fini istituzionali. Il dipartimento è caratterizzato da un ambito di discipline omogenee definito da una declaratoria, comprensiva di un elenco di settori scientifico-disciplinari, individuata con riferimento a linee di ricerca e di offerta formativa, anche di carattere multidisciplinare. Il dipartimento: - promuove, coordina e gestisce le attività di ricerca, svolte nel proprio ambito, nel rispetto dell’autonomia scientifica dei singoli docenti, garantendo un equo e regolamentato accesso alle proprie risorse; - promuove, coordina e gestisce le attività didattiche di uno o più corsi di laurea, laurea magistrale, scuole di specializzazione, corsi di dottorato e master anche in collaborazione con altre strutture nel rispetto dell’autonomia didattica dei singoli docenti; - promuove, coordina e gestisce, nel proprio ambito, le attività di terza missione, anche in collaborazione con le altre strutture dell’Ateneo. L’attivazione e la disattivazione di un dipartimento sono deliberate dal Consiglio di Amministrazione, su proposta del Senato accademico; la delibera di attivazione o di disattivazione comporta automaticamente la conseguente variazione dell’elenco di cui al comma 14 del presente articolo. La modifica dei settori scientifico-disciplinari riguardanti un dipartimento è deliberata dal Senato accademico a maggioranza dei componenti, previo parere del Consiglio di Amministrazione, acquisita la proposta o il parere di tutti i consigli di dipartimento interessati. La relativa delibera del Senato accademico comporta automaticamente l’adeguamento dell’elenco dei settori scientifico-disciplinari del dipartimento, di cui al comma 14 del presente articolo. Per istituire un dipartimento sono necessari almeno quaranta docenti. Eventuali deroghe possono essere deliberate dal Consiglio di Amministrazione, sentito il Senato accademico o su proposta dello stesso, qualora un dipartimento comprenda al suo interno la totalità o la netta prevalenza dei docenti di Ateneo di un’area CUN, fermo restando il rispetto del limite di trenta unità per tutto il quinquennio successivo. Qualora la componente docente scenda al di sotto dei suddetti limiti per un periodo di due anni, il Consiglio di Amministrazione procede alla relativa disattivazione. Ciascun docente afferisce a un solo dipartimento. I docenti, al momento della presa di servizio, afferiscono al dipartimento che ne ha deliberato la relativa chiamata. Tale afferenza deve essere mantenuta per almeno un triennio. La richiesta di un docente di afferire a un dipartimento diverso da quello di appartenenza è approvata dal Consiglio di Amministrazione, sentiti il Senato accademico e i consigli dei dipartimenti stessi, previa verifica del fabbisogno dei dipartimenti interessati e sulla base dei criteri generali definiti dal Senato accademico e contenuti nel Regolamento generale di Ateneo. Il dipartimento si dota di un proprio regolamento di funzionamento approvato dal relativo Consiglio, trasmesso al Senato accademico per i controlli previsti dall’art. 46 del presente Statuto, ed emanato con decreto del Rettore. Il dipartimento ha autonomia gestionale e amministrativa, da esercitarsi secondo le modalità previste nel Regolamento di Ateneo per l’Amministrazione, la Finanza e la Contabilità. Il regolamento di funzionamento può prevedere l’attivazione, per specifiche esigenze di carattere scientifico, di articolazioni interne al dipartimento e ne definisce i limiti, le condizioni e le finalità: tali articolazioni sono chiamate sezioni e sono prive di rappresentatività esterna. Il fabbisogno di personale docente e tecnico-amministrativo di ciascun dipartimento è definito dal Consiglio di Amministrazione, sentito il Senato accademico, ed è aggiornato nell’ambito della programmazione triennale, prevista dalla legislazione vigente, o in caso di attivazione e disattivazione di dipartimenti. Tale fabbisogno può essere aggiornato in caso di variazione dell’afferenza dei docenti. L’elenco dei dipartimenti con i relativi settori scientifico-disciplinari e il loro inquadramento nei settori culturali costituisce allegato al presente Statuto.";explicit_reference;1.0
8;regolamento:117:2;La proposta di istituzione di un nuovo dipartimento può scaturire anche su iniziativa di un gruppo di docenti di almeno quaranta unità che intendono afferire al dipartimento stesso, salvo che ricorra l’ipotesi di cui all’art. 22, comma 6, dello Statuto per cui tale limite può essere derogato. In tale ipotesi il Senato è tenuto a portarla in discussione e a motivare l’eventuale parere negativo.;statuto:22:6;Per istituire un dipartimento sono necessari almeno quaranta docenti. Eventuali deroghe possono essere deliberate dal Consiglio di Amministrazione, sentito il Senato accademico o su proposta dello stesso, qualora un dipartimento comprenda al suo interno la totalità o la netta prevalenza dei docenti di Ateneo di un’area CUN, fermo restando il rispetto del limite di trenta unità per tutto il quinquennio successivo. Qualora la componente docente scenda al di sotto dei suddetti limiti per un periodo di due anni, il Consiglio di Amministrazione procede alla relativa disattivazione.;explicit_reference;1.0
9;regolamento:121:3;"Il Regolamento di cui al comma 1 deve contenere: a) le indicazioni riguardanti le finalità del dipartimento; b) la declaratoria di cui all’art. 22, comma 2, dello Statuto; c) le indicazioni riguardanti la sede del dipartimento, l’eventuale intitolazione della struttura e l’eventuale logo della struttura; d) l’indicazione dei corsi di laurea, di laurea magistrale, di specializzazione, di dottorato di ricerca e dei master, che afferiscono al dipartimento anche non in via esclusiva; e) le indicazioni circa la composizione, le competenze e le modalità di funzionamento degli organi del dipartimento, anche mediante il semplice rinvio alla normativa statutaria e regolamentare di Ateneo e, in ogni caso, in osservanza di quest’ultima. Per quanto concerne le modalità di espressione del voto deve essere fatto riferimento all’art. 97 del Capo I del Titolo III del presente Regolamento; f) le indicazioni circa le modalità di elezione e funzionamento della giunta dipartimentale, in conformità al presente Regolamento, in osservanza del criterio di semplificazione procedurale e le eventuali competenze che possono essere delegate alla stessa nell’osservanza dei criteri di cui all’art. 26 dello Statuto; g) le indicazioni circa l’eventuale attivazione, per specifiche esigenze di carattere scientifico, di sezioni interne al dipartimento prive di rappresentatività esterna, definendone i limiti, le condizioni e le specifiche finalità e competenze; in ogni caso a una sezione devono afferire in via esclusiva almeno dieci docenti e alla stessa non possono essere attribuite risorse logistiche e di personale tecnico amministrativo, né funzioni inerenti alla programmazione del personale docente; h) le indicazioni circa l’eventuale costituzione di centri dipartimentali per la gestione di particolari attività di formazione, di ricerca o di servizi, definendone le specifiche finalità e competenze; i) le indicazioni circa l’eventuale costituzione di laboratori con finalità scientifiche e/o didattiche, definendone le specifiche finalità e competenze e l’organizzazione interna, nel rispetto degli indirizzi e criteri organizzativi generali; j) le indicazioni circa l’eventuale costituzione di commissioni interne, definendone le specifiche finalità e competenze; k) le indicazioni circa le modalità di accesso e utilizzo dei locali, delle attrezzature e dei materiali, anche a fini di comodato, nel rispetto della normativa vigente di Ateneo in materia di spazi e di sicurezza; l) le modalità per la presentazione di proposte di modifica al Regolamento del Dipartimento; m) ogni altra disposizione ritenuta utile al funzionamento del dipartimento; n) le indicazioni circa la sua entrata in vigore; o) le indicazioni circa le modalità di funzionamento dell’assemblea studentesca e la disciplina dell’eventuale sospensione dell’attività didattica, nel rispetto delle previsioni di cui all’art. 81-bis.";statuto:22:2;Il dipartimento è caratterizzato da un ambito di discipline omogenee definito da una declaratoria, comprensiva di un elenco di settori scientifico-disciplinari, individuata con riferimento a linee di ricerca e di offerta formativa, anche di carattere multidisciplinare.;explicit_reference;1.0
10;regolamento:121:3;"Il Regolamento di cui al comma 1 deve contenere: a) le indicazioni riguardanti le finalità del dipartimento; b) la declaratoria di cui all’art. 22, comma 2, dello Statuto; c) le indicazioni riguardanti la sede del dipartimento, l’eventuale intitolazione della struttura e l’eventuale logo della struttura; d) l’indicazione dei corsi di laurea, di laurea magistrale, di specializzazione, di dottorato di ricerca e dei master, che afferiscono al dipartimento anche non in via esclusiva; e) le indicazioni circa la composizione, le competenze e le modalità di funzionamento degli organi del dipartimento, anche mediante il semplice rinvio alla normativa statutaria e regolamentare di Ateneo e, in ogni caso, in osservanza di quest’ultima. Per quanto concerne le modalità di espressione del voto deve essere fatto riferimento all’art. 97 del Capo I del Titolo III del presente Regolamento; f) le indicazioni circa le modalità di elezione e funzionamento della giunta dipartimentale, in conformità al presente Regolamento, in osservanza del criterio di semplificazione procedurale e le eventuali competenze che possono essere delegate alla stessa nell’osservanza dei criteri di cui all’art. 26 dello Statuto; g) le indicazioni circa l’eventuale attivazione, per specifiche esigenze di carattere scientifico, di sezioni interne al dipartimento prive di rappresentatività esterna, definendone i limiti, le condizioni e le specifiche finalità e competenze; in ogni caso a una sezione devono afferire in via esclusiva almeno dieci docenti e alla stessa non possono essere attribuite risorse logistiche e di personale tecnico amministrativo, né funzioni inerenti alla programmazione del personale docente; h) le indicazioni circa l’eventuale costituzione di centri dipartimentali per la gestione di particolari attività di formazione, di ricerca o di servizi, definendone le specifiche finalità e competenze; i) le indicazioni circa l’eventuale costituzione di laboratori con finalità scientifiche e/o didattiche, definendone le specifiche finalità e competenze e l’organizzazione interna, nel rispetto degli indirizzi e criteri organizzativi generali; j) le indicazioni circa l’eventuale costituzione di commissioni interne, definendone le specifiche finalità e competenze; k) le indicazioni circa le modalità di accesso e utilizzo dei locali, delle attrezzature e dei materiali, anche a fini di comodato, nel rispetto della normativa vigente di Ateneo in materia di spazi e di sicurezza; l) le modalità per la presentazione di proposte di modifica al Regolamento del Dipartimento; m) ogni altra disposizione ritenuta utile al funzionamento del dipartimento; n) le indicazioni circa la sua entrata in vigore; o) le indicazioni circa le modalità di funzionamento dell’assemblea studentesca e la disciplina dell’eventuale sospensione dell’attività didattica, nel rispetto delle previsioni di cui all’art. 81-bis.";statuto:26;La Giunta coadiuva il Direttore nell’esercizio delle sue funzioni ed esercita attività istruttoria su tutte le materie attribuite al Consiglio del dipartimento. La Giunta delibera sulle materie ad essa espressamente delegate dal Consiglio del dipartimento. La delibera con cui viene approvata la delega, assunta a maggioranza dei componenti del Consiglio del dipartimento, definisce i criteri, la durata e i limiti della delega, il cui contenuto non può comunque eccedere l’ordinaria amministrazione. Non possono essere delegate alla Giunta le competenze espressamente attribuite al Consiglio del dipartimento all’art. 25, comma 2, a eccezione di quelle di cui alle lettere a., b., d., i., j. e k.. La Giunta è composta dal Direttore, dal Vicedirettore, da un rappresentante del personale tecnicoamministrativo, da un rappresentante degli studenti, da un rappresentante dei dottorandi, specializzandi e assegnisti e da una componente docente, suddivisa in modo paritetico fra i professori ordinari, professori associati e ricercatori, comunque non inferiore a due rappresentanti per ciascuna categoria. Alle riunioni della Giunta partecipa il responsabile amministrativo del dipartimento, senza diritto di voto, con funzioni di segretario verbalizzante. La Giunta viene eletta secondo modalità definite nel regolamento del dipartimento, in conformità con il Regolamento Generale di Ateneo, entro un mese dall’insediamento del Direttore e dura in carica per tutto il mandato dello stesso. Le modalità di funzionamento della Giunta sono definite nel regolamento del dipartimento.;explicit_reference;1.0
